Vertices,Terminals,Answer,Accuracy,Time(ms)
3,3,122.168,0.703302,0
4,3,217.251,0.529728,0
4,4,120.712,0.976937,0
5,3,173.04,0.97656,0
5,4,298.973,0.695688,1
5,5,346.474,0.718135,0
6,3,89.607,0.355262,0
6,4,179.852,0.700987,0
6,5,285.961,0.744157,0
6,6,86.831,0.361369,0
7,3,157.116,0.770469,0
7,4,121.574,0.923314,0
7,5,135.831,0.989884,0
7,6,456.344,0.618492,0
7,7,440.589,0.870966,0
8,3,288.692,0.394614,0
8,4,166.292,0.795119,0
8,5,492.051,0.667604,0
8,6,383.035,0.819969,1
8,7,478.922,0.743566,0
8,8,297.308,0.895317,0
9,3,168.39,0.567124,0
9,4,255.774,0.746663,0
9,5,321.259,0.528988,1
9,6,297.28,0.856866,0
9,7,327.952,0.893106,0
9,8,490.312,0.816919,0
9,9,416.888,0.792558,1
100,10,435.668,0.902364,4
100,70,3697.13,0.972013,27
200,10,481.517,0.679106,11
200,70,3584.36,0.971479,67
200,130,6792,0.981576,107
200,190,9438.18,0.992589,144
300,10,701.388,0.857865,17
300,70,3708.62,0.992129,113
300,130,6512.28,0.985185,207
300,190,9899.29,0.990311,282
300,250,12911,0.995579,343
400,10,600.721,0.68337,29
400,70,3603.54,0.986803,176
400,130,6737.36,0.997498,310
400,190,9889.82,0.989916,433
400,250,13607.5,0.991002,543
400,310,14885.9,0.990656,644
400,370,18818.3,0.994897,736
500,10,539.025,0.849758,46
500,70,3473.17,0.989771,294
500,130,6565.91,0.983637,443
500,190,9893.4,0.99823,622
500,250,12349.4,0.991349,782
500,310,16020.9,0.989167,938
500,370,18405.5,0.99531,1078
500,430,22085.4,0.996696,1220
500,490,24583.4,0.995797,1341
600,10,578.51,0.836238,64
600,70,3524.31,0.967404,337
600,130,6404.73,0.996774,614
600,190,10393.2,0.986728,848
600,250,12425.9,0.98604,1077
600,310,15571.7,0.990134,1289
600,370,18592.9,0.996179,1684
600,430,20605.1,0.994786,2019
600,490,25443.7,0.999583,2248
600,550,28134.7,0.999046,2458
