N,Answer,Accuracy,Time(ms)
3,3,1,0
4,4,1,0
5,5,1,1
6,6,1,0
7,7,1,0
8,8,1,1
9,9,1,0
10,10,1,1
11,11,1,1
12,12,1,1
13,13,1,1
14,14,1,1
15,15,1,2
16,16,1,2
17,17,1,2
18,18,1,2
19,19,1,3
20,20,1,2
21,21,1,3
22,22,1,4
23,23,1,3
24,24,1,4
25,25,1,4
26,26,1,5
27,27,1,5
28,28,1,6
29,29,1,6
30,30,1,6
31,31,1,7
32,32,1,8
33,33,1,8
34,34,1,9
35,35,1,9
36,36,1,9
37,37,1,10
38,38,1,11
39,39,1,10
40,40,1,11
41,41,1,11
42,42,1,13
43,43,1,12
44,44,1,13
45,45,1,14
46,46,1,15
47,47,1,15
48,48,1,16
49,49,1,17
50,50,1,18
51,51,1,18
52,52,1,19
53,53,1,20
54,54,1,21
55,55,1,22
56,56,1,22
57,57,1,24
58,58,1,25
59,59,1,25
60,60,1,26
61,61,1,29
62,62,1,32
63,63,1,34
64,64,1,38
65,65,1,38
66,66,1,39
67,67,1,44
68,68,1,43
69,69,1,47
70,70,1,45
71,71,1,45
72,72,1,47
73,73,1,49
74,74,1,51
75,75,1,53
76,76,1,54
77,77,1,50
78,78,1,52
79,79,1,49
80,80,1,50
81,81,1,51
82,82,1,53
83,83,1,55
84,84,1,57
85,85,1,58
86,86,1,62
87,87,1,75
88,88,1,76
89,89,1,76
90,90,1,79
91,91,1,76
92,92,1,71
93,93,1,72
94,94,1,73
95,95,1,87
96,96,1,94
97,97,1,93
98,98,1,83
99,99,1,84
100,100,1,86
200,200,1,478
300,300,1,1495
400,400,1,3189
500,500,1,5760
600,600,1,11269
700,700,1,17101
