Vertices,Terminals,Answer,Accuracy,Time(ms),NaiveAlgo Time(ms)
3,3,58.327,1,0,0
3,3,119.314,1,0,0
3,3,118.607,1,0,0
3,3,33.488,1,0,0
3,3,52.372,1,0,0
4,3,143.983,1,1,0
4,3,27.768,1,0,0
4,3,123.301,1,0,0
4,3,97.409,0.955497,0,0
4,3,218.222,0.679139,0,0
4,4,199.106,1,0,0
4,4,77.816,1,0,0
4,4,250.582,1,1,0
4,4,249.858,1,0,0
4,4,69.53,1,0,0
5,3,282.323,0.174286,0,1
5,3,391.201,0.305426,1,1
5,3,357.62,0.196396,0,0
5,3,349.241,0.387045,0,1
5,3,203.478,0.605859,0,0
5,4,245.26,0.321679,0,1
5,4,355.583,0.656108,0,1
5,4,281.171,0.784622,0,0
5,4,200.451,1,0,1
5,4,225.709,0.401938,0,0
5,5,399.044,1,0,1
5,5,98.032,1,0,0
5,5,283.116,1,0,1
5,5,304.424,1,0,1
5,5,292.765,1,0,0
6,3,258.751,0.435531,1,2
6,3,515.063,0.287811,0,5
6,3,542.553,0.377663,0,6
6,3,403.534,0.413732,0,2
6,3,420.3,0.264575,0,6
6,4,508.559,0.488545,0,6
6,4,703.47,0.459656,0,12
6,4,515.003,0.442269,0,6
6,4,387.649,0.541382,0,3
6,4,516.842,0.15409,0,3
6,5,195.68,1,0,1
6,5,413.143,0.40821,1,1
6,5,334.947,0.463802,0,3
6,5,516.927,0.567987,0,3
6,5,655.106,0.649313,0,12
6,6,416.718,1,1,3
6,6,505.02,1,0,7
6,6,399.614,1,0,4
6,6,485.318,1,0,1
6,6,363.598,1,0,1
7,3,461.986,0.184194,0,40
7,3,196.654,0.552336,0,9
7,3,327.379,0.0396177,0,10
7,3,449.184,0.216223,0,38
7,3,369.469,0.151252,0,19
7,4,390.788,0.269683,0,3
7,4,457.005,0.258721,0,22
7,4,562.459,0.251432,0,90
7,4,579.603,0.216976,0,11
7,4,398.269,0.175055,0,11
7,5,436.805,0.61598,0,7
7,5,691.599,0.48336,0,106
7,5,653.25,0.742027,1,25
7,5,508.81,0.593058,0,7
7,5,755.396,0.613539,0,210
7,6,546.25,0.642563,0,58
7,6,668.195,0.875126,0,58
7,6,347.702,0.451637,0,7
7,6,739.582,0.611049,0,59
7,6,708.195,1,0,117
7,7,800.713,1,0,33
7,7,584.242,1,0,4
7,7,516.887,1,0,65
7,7,671.499,1,0,32
7,7,610.896,1,0,65
8,3,248.684,0.18039,0,10
8,3,393.575,0,1,41
8,3,657.329,0.173473,0,337
8,3,540.092,0.115454,0,169
8,3,515.056,0.236656,0,41
8,4,729.664,0.168251,0,193
8,4,667.64,0.236864,1,779
8,4,751.715,0.275694,1,195
8,4,845.275,0.252772,0,191
8,4,877.766,0.242286,0,192
8,5,760.243,0.305029,0,221
8,5,586.03,0.421714,0,54
8,5,593.308,0.475886,0,220
8,5,635.596,0.125973,0,439
8,5,396.674,0.306788,0,14
8,6,627.505,0.333266,0,30
8,6,888.456,0.547704,0,994
8,6,495.819,0.447954,0,62
8,6,1030.53,0.538949,0,994
8,6,636.321,0.488499,0,247
8,7,782.072,0.903808,0,67
8,7,746.966,0.855747,1,273
8,7,677.199,0.602709,1,67
8,7,672.112,0.857725,1,68
8,7,855.181,0.756808,1,547
8,8,912.624,1,0,612
8,8,767.867,1,0,306
8,8,993.446,1,0,152
8,8,605.302,1,0,37
8,8,626.084,1,1,76
